                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.5406,                0.67559,                0.87356,                0.70325,                0.74678,                0.78396,                 0.4738,                  1.454,                 0.6365,                0.86202,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.4963,                0.65361,                0.87015,                0.82163,                0.72605,                0.81302,                 0.4946,                 1.4693,                0.64145,                0.86301,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.5066,                0.66222,                0.87186,                0.72394,                0.73931,                0.78781,                 0.4866,                 1.4287,                0.63459,                0.86096,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.5134,                0.66403,                0.87842,                0.82774,                 0.7125,                0.81461,                0.49081,                 1.4323,                0.62992,                0.85782,             0.00063676,             0.00063676,             0.00063676
                     59,                 1.4827,                0.64586,                  0.867,                0.83435,                0.72723,                0.81699,                0.49709,                 1.4438,                0.63706,                0.85995,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.5144,                0.66557,                0.87117,                0.81808,                0.72811,                0.80245,                0.45996,                 1.5078,                0.65904,                0.86642,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.4884,                0.65601,                0.86987,                0.78587,                0.70453,                0.80303,                0.48185,                 1.4376,                0.64485,                0.86931,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.4813,                0.64174,                0.87333,                0.80078,                0.74062,                0.81649,                0.50639,                 1.4403,                0.62601,                0.85988,             0.00058017,             0.00058017,             0.00058017
                     63,                 1.4721,                0.64419,                0.86609,                0.83557,                0.72735,                0.83258,                0.51489,                 1.4296,                0.61894,                0.85882,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.4605,                0.64155,                0.86186,                0.84584,                0.74753,                0.84297,                0.52131,                   1.41,                0.61682,                0.85788,             0.00055188,             0.00055188,             0.00055188
