                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.5306,                0.67529,                 0.8743,                0.75501,                0.75871,                0.81209,                0.48675,                 1.4672,                0.64215,                  0.864,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.5132,                 0.6665,                0.87795,                  0.756,                0.71352,                 0.7771,                0.45991,                  1.483,                0.66246,                0.87193,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.5295,                0.66979,                0.87945,                0.79595,                0.72626,                 0.8176,                0.48206,                   1.48,                0.64661,                0.86519,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.5394,                0.67281,                0.87395,                0.77745,                0.74573,                0.81255,                0.49809,                  1.448,                0.63603,                0.86016,              0.0006792,              0.0006792,              0.0006792
                     56,                  1.496,                0.64793,                0.87075,                0.83322,                 0.7344,                0.83292,                0.51441,                  1.431,                0.62794,                0.86062,             0.00066506,             0.00066506,             0.00066506
                     57,                  1.493,                0.65719,                0.86968,                0.80519,                0.75487,                0.82722,                0.50473,                 1.4315,                0.62611,                0.85894,             0.00065091,             0.00065091,             0.00065091
                     58,                  1.496,                0.65611,                0.87479,                0.78544,                0.75414,                0.82271,                0.49476,                 1.4445,                0.63279,                0.86031,             0.00063676,             0.00063676,             0.00063676
                     59,                  1.488,                0.64928,                0.86642,                0.78042,                0.78886,                0.83329,                0.51516,                 1.4253,                0.62074,                 0.8579,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.5031,                0.65807,                0.86884,                0.84565,                0.72528,                0.82974,                0.51103,                  1.445,                0.62703,                0.85846,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.4783,                0.64436,                0.86895,                0.78474,                0.75653,                0.82897,                0.51238,                 1.4323,                0.62085,                0.86683,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.4922,                0.64591,                0.87222,                0.81245,                0.72065,                 0.8196,                0.50356,                 1.4414,                0.63426,                0.86064,             0.00058017,             0.00058017,             0.00058017
                     63,                 1.4542,                0.63381,                0.86437,                0.80092,                0.77588,                0.83898,                0.51743,                 1.4299,                0.61843,                0.85542,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.4623,                0.64363,                0.86228,                0.82276,                 0.7584,                0.85313,                0.52747,                 1.4151,                0.60826,                0.86041,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.4964,                0.65542,                0.86751,                0.83218,                0.77392,                0.84399,                 0.5163,                  1.429,                0.61425,                 0.8598,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.4596,                0.63081,                 0.8647,                0.81252,                0.77853,                0.84469,                0.52297,                 1.4361,                0.61444,                0.85812,             0.00052359,             0.00052359,             0.00052359
                     67,                 1.4453,                0.62637,                0.86355,                0.79295,                0.78042,                  0.839,                0.51928,                 1.4037,                0.61227,                 0.8527,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.4754,                0.63196,                0.85966,                0.81683,                0.79766,                0.85428,                0.53005,                 1.3893,                0.60724,                0.85315,             0.00049529,             0.00049529,             0.00049529
                     69,                 1.4462,                0.62781,                0.86246,                 0.8076,                0.79102,                0.84769,                0.53232,                 1.4005,                0.60798,                0.85306,             0.00048114,             0.00048114,             0.00048114
                     70,                 1.4519,                0.63003,                0.86261,                0.80606,                0.77525,                0.84464,                0.51887,                 1.4206,                0.60966,                0.85437,               0.000467,               0.000467,               0.000467
                     71,                 1.4391,                0.62648,                0.86589,                0.78922,                0.78532,                 0.8328,                0.51872,                 1.3955,                0.61496,                0.85337,             0.00045285,             0.00045285,             0.00045285
                     72,                 1.4389,                0.62153,                0.86321,                0.82225,                0.76842,                0.84939,                0.52733,                 1.3998,                0.60535,                0.85267,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.4359,                0.61404,                0.85826,                0.81025,                0.78607,                0.84751,                0.52981,                 1.3893,                0.59747,                0.85072,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.4407,                 0.6213,                 0.8615,                0.80853,                0.80538,                0.85178,                0.53095,                 1.4169,                0.60461,                0.85605,             0.00041041,             0.00041041,             0.00041041
                     75,                 1.4406,                 0.6167,                0.85849,                0.78643,                0.82426,                0.85081,                0.52808,                 1.4315,                0.60854,                 0.8585,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.4382,                0.61688,                0.85136,                 0.8185,                0.79419,                0.85355,                0.52808,                  1.384,                0.59482,                 0.8519,             0.00038211,             0.00038211,             0.00038211
                     77,                 1.4266,                0.60794,                0.86026,                0.81434,                 0.7912,                0.85501,                0.53358,                 1.3959,                0.59738,                0.85326,             0.00036797,             0.00036797,             0.00036797
                     78,                 1.3967,                0.60071,                0.85484,                0.81498,                0.78516,                0.85381,                 0.5382,                 1.3751,                 0.5937,                0.84983,             0.00035382,             0.00035382,             0.00035382
                     79,                  1.411,                0.60584,                0.86112,                0.85779,                0.77666,                0.86331,                0.54572,                 1.3917,                0.59259,                0.85215,             0.00033967,             0.00033967,             0.00033967
                     80,                  1.406,                0.60213,                0.86359,                0.79973,                0.80834,                0.84947,                0.53675,                 1.3775,                0.59205,                0.85137,             0.00032553,             0.00032553,             0.00032553
                     81,                 1.3955,                0.59539,                0.85507,                0.81112,                0.78242,                0.85621,                0.53775,                  1.378,                0.59369,                0.84869,             0.00031138,             0.00031138,             0.00031138
                     82,                 1.4036,                0.59695,                0.85407,                0.82178,                0.78702,                0.85952,                0.54075,                 1.3798,                0.58698,                0.84928,             0.00029723,             0.00029723,             0.00029723
                     83,                 1.4112,                0.59852,                0.85285,                0.82855,                0.78592,                0.86289,                0.54697,                 1.3785,                0.59069,                0.84858,             0.00028308,             0.00028308,             0.00028308
                     84,                 1.3961,                0.60177,                 0.8544,                0.84571,                0.79305,                0.85919,                0.53806,                 1.3608,                0.58566,                0.84932,             0.00026894,             0.00026894,             0.00026894
                     85,                 1.3875,                 0.5919,                0.85106,                0.82143,                0.77954,                0.85012,                0.53401,                  1.358,                0.59318,                0.84846,             0.00025479,             0.00025479,             0.00025479
                     86,                 1.3895,                0.59405,                0.85168,                0.84763,                0.78317,                0.86365,                0.54621,                  1.365,                0.58189,                0.84904,             0.00024064,             0.00024064,             0.00024064
                     87,                 1.3752,                0.58969,                 0.8574,                0.85613,                 0.7709,                0.85959,                0.54129,                 1.3741,                0.58925,                0.84825,              0.0002265,              0.0002265,              0.0002265
                     88,                 1.3774,                0.58822,                0.84893,                0.81846,                0.79454,                0.85228,                0.52888,                 1.3986,                0.59245,                0.85045,             0.00021235,             0.00021235,             0.00021235
                     89,                 1.3597,                0.58063,                0.85389,                0.84853,                0.78916,                0.86245,                0.55566,                 1.3531,                0.57785,                0.84723,              0.0001982,              0.0001982,              0.0001982
                     90,                 1.3564,                0.57981,                0.84773,                0.83172,                 0.7888,                0.86045,                0.54093,                 1.3688,                 0.5832,                0.84749,             0.00018406,             0.00018406,             0.00018406
                     91,                 1.3477,                0.57793,                 0.8526,                 0.8027,                0.80079,                0.85359,                0.53138,                 1.3622,                0.58404,                0.84584,             0.00016991,             0.00016991,             0.00016991
                     92,                 1.3302,                0.56397,                0.85264,                0.85765,                0.77347,                 0.8674,                0.55272,                  1.367,                0.57782,                0.84629,             0.00015576,             0.00015576,             0.00015576
                     93,                  1.321,                0.56094,                0.84786,                0.81327,                0.80225,                0.86008,                0.54428,                 1.3655,                0.57442,                0.84634,             0.00014161,             0.00014161,             0.00014161
                     94,                 1.3142,                0.56147,                0.85361,                0.81705,                0.81285,                 0.8664,                 0.5551,                  1.373,                0.58231,                0.84627,             0.00012747,             0.00012747,             0.00012747
                     95,                   1.29,                0.54637,                 0.8504,                 0.8355,                    0.8,                0.86831,                0.56012,                 1.3461,                0.57583,                0.84461,             0.00011332,             0.00011332,             0.00011332
                     96,                 1.2987,                0.54963,                0.85529,                0.84662,                0.78771,                0.86828,                0.55026,                 1.3633,                 0.5764,                0.84598,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                 1.2951,                0.54981,                  0.848,                0.87398,                0.76646,                0.86874,                0.55908,                 1.3527,                0.57742,                0.84402,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                 1.2882,                0.55129,                0.85221,                0.83794,                0.79949,                0.86468,                 0.5471,                 1.3587,                0.57697,                0.84598,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                 1.2878,                0.54271,                0.84686,                0.83516,                0.79529,                0.86948,                0.55676,                 1.3539,                0.57444,                0.84607,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                 1.2866,                 0.5498,                0.84696,                0.87876,                0.77509,                0.86887,                0.55401,                 1.3544,                0.57349,                0.84488,             4.2584e-05,             4.2584e-05,             4.2584e-05
